trade_date,Month-end trading day / open,Month-end trading day / close,Reference code calendar / open
2020-04-30,1.0081348138512145,0.9994975643843486,1.0081348138512145
2020-05-06,1.0075501832852638,0.9988772984873969,1.0075501832852638
2020-05-07,1.0049680140138848,0.9963136965638163,1.0049680140138848
2020-05-08,1.0130634566725605,1.0043330372575205,1.0130634566725605
2020-05-11,1.0138148138212524,1.0050800709979242,1.0138148138212524
2020-05-12,1.009198431602127,1.0004995178312845,1.009198431602127
2020-05-13,1.0101354420538398,1.0014378555324248,1.0101354420538398
2020-05-14,1.0014685668367769,0.9928365095418509,1.0014685668367769
2020-05-15,1.0010709749561224,0.9924084556746846,1.0010709749561224
2020-05-18,1.0056333779975504,0.996920565609805,1.0056333779975504
2020-05-19,1.0107951877860029,1.0020455451930006,1.0107951877860029
2020-05-20,1.0080976253693223,0.9993464859915067,1.0080976253693223
2020-05-21,1.0061739812627344,0.9974602090216313,1.0061739812627344
2020-05-22,0.9917966543155201,0.9831732153764564,0.9917966543155201
2020-05-25,0.996805415899308,0.9881727194979059,0.996805415899308
2020-05-26,1.0030031912185724,0.9943197151527815,1.0030031912185724
2020-05-27,1.0081075840494387,0.9993396164992747,1.0081075840494387
2020-05-28,1.012247188195121,1.0034726960216735,1.012247188195121
2020-05-29,1.0119462935560877,1.0031369813097304,1.0119462935560877
2020-06-01,1.0278326842080727,1.018832854164376,1.0278326842080727
2020-06-02,1.0312564166641924,1.0222299586795416,1.0312564166641924
2020-06-03,1.0291378077596818,1.020115028847918,1.0291378077596818
2020-06-04,1.0284206862945373,1.019411920188867,1.0284206862945373
2020-06-05,1.0296821317122262,1.0206866261911614,1.0296821317122262
2020-06-08,1.0327710912386283,1.0237326438222643,1.0327710912386283
2020-06-09,1.0383411379010052,1.029241145514965,1.0383411379010052
2020-06-10,1.0339395450546902,1.0248398823782008,1.0339395450546902
2020-06-11,1.026886174918618,1.0177899766105942,1.026886174918618
2020-06-12,1.02943175049134,1.0202470934921821,1.02943175049134
2020-06-15,1.024187063531579,1.014971331958223,1.024187063531579
2020-06-16,1.0384258745424573,1.0290590158494937,1.0384258745424573
2020-06-17,1.0416532650484556,1.0322582198281134,1.0416532650484556
2020-06-18,1.046794823276493,1.0373528229091862,1.046794823276493
2020-06-19,1.0482014555313415,1.038796556090592,1.0482014555313415
2020-06-22,1.0427976282328237,1.0334244692697818,1.0427976282328237
2020-06-23,1.041923957139226,1.032555594047452,1.041923957139226
2020-06-24,1.0458769990058867,1.0365239477639387,1.0458769990058867
2020-06-29,1.0401532606589023,1.0308442892818674,1.0401532606589023
2020-06-30,1.0498725307972123,1.0403921220270527,1.0498725307972123
